,param,candle,stoch,pivot,decision
450,param3,bullish,os,> r3,no_trade
451,param3,bullish,os,r3-r2,no_trade
452,param3,bullish,os,r2-pdh,no_trade
453,param3,bullish,os,r2-r1,no_trade
454,param3,bullish,os,pdh-r1,no_trade
455,param3,bullish,os,r1-pdh,no_trade
456,param3,bullish,os,r1-tc,no_trade
457,param3,bullish,os,pdh-tc,no_trade
458,param3,bullish,os,tc-pp,no_trade
459,param3,bullish,os,pp-bc,no_trade
460,param3,bullish,os,bc-pdl,no_trade
461,param3,bullish,os,bc-s1,no_trade
462,param3,bullish,os,pdl-s1,no_trade
463,param3,bullish,os,s1-pdl,no_trade
464,param3,bullish,os,pdl-s2,no_trade
465,param3,bullish,os,s1-s2,no_trade
466,param3,bullish,os,s2-s3,no_trade
467,param3,bullish,os,< s3,no_trade
468,param3,bullish,nu,> r3,no_trade
469,param3,bullish,nu,r3-r2,buy
470,param3,bullish,nu,r2-pdh,no_trade
471,param3,bullish,nu,r2-r1,sell
472,param3,bullish,nu,pdh-r1,buy
473,param3,bullish,nu,r1-pdh,no_trade
474,param3,bullish,nu,r1-tc,sell
475,param3,bullish,nu,pdh-tc,buy
476,param3,bullish,nu,tc-pp,buy
477,param3,bullish,nu,pp-bc,sell
478,param3,bullish,nu,bc-pdl,sell
479,param3,bullish,nu,bc-s1,sell
480,param3,bullish,nu,pdl-s1,no_trade
481,param3,bullish,nu,s1-pdl,no_trade
482,param3,bullish,nu,pdl-s2,no_trade
483,param3,bullish,nu,s1-s2,no_trade
484,param3,bullish,nu,s2-s3,no_trade
485,param3,bullish,nu,< s3,no_trade
486,param3,bearish,ob,> r3,no_trade
487,param3,bearish,ob,r3-r2,no_trade
488,param3,bearish,ob,r2-pdh,no_trade
489,param3,bearish,ob,r2-r1,no_trade
490,param3,bearish,ob,pdh-r1,no_trade
491,param3,bearish,ob,r1-pdh,no_trade
492,param3,bearish,ob,r1-tc,no_trade
493,param3,bearish,ob,pdh-tc,buy
494,param3,bearish,ob,tc-pp,no_trade
495,param3,bearish,ob,pp-bc,no_trade
496,param3,bearish,ob,bc-pdl,no_trade
497,param3,bearish,ob,bc-s1,no_trade
498,param3,bearish,ob,pdl-s1,no_trade
499,param3,bearish,ob,s1-pdl,no_trade
500,param3,bearish,ob,pdl-s2,sell
501,param3,bearish,ob,s1-s2,no_trade
502,param3,bearish,ob,s2-s3,no_trade
503,param3,bearish,ob,< s3,no_trade
504,param3,bearish,os,> r3,no_trade
505,param3,bearish,os,r3-r2,no_trade
506,param3,bearish,os,r2-pdh,no_trade
507,param3,bearish,os,r2-r1,no_trade
508,param3,bearish,os,pdh-r1,no_trade
509,param3,bearish,os,r1-pdh,no_trade
510,param3,bearish,os,r1-tc,no_trade
511,param3,bearish,os,pdh-tc,no_trade
512,param3,bearish,os,tc-pp,no_trade
513,param3,bearish,os,pp-bc,no_trade
514,param3,bearish,os,bc-pdl,no_trade
515,param3,bearish,os,bc-s1,no_trade
516,param3,bearish,os,pdl-s1,no_trade
517,param3,bearish,os,s1-pdl,no_trade
518,param3,bearish,os,pdl-s2,no_trade
519,param3,bearish,os,s1-s2,no_trade
520,param3,bearish,os,s2-s3,no_trade
521,param3,bearish,os,< s3,no_trade
522,param3,bearish,nu,> r3,no_trade
523,param3,bearish,nu,r3-r2,no_trade
524,param3,bearish,nu,r2-pdh,no_trade
525,param3,bearish,nu,r2-r1,sell
526,param3,bearish,nu,pdh-r1,no_trade
527,param3,bearish,nu,r1-pdh,sell
528,param3,bearish,nu,r1-tc,buy
529,param3,bearish,nu,pdh-tc,buy
530,param3,bearish,nu,tc-pp,no_trade
531,param3,bearish,nu,pp-bc,sell
532,param3,bearish,nu,bc-pdl,sell
533,param3,bearish,nu,bc-s1,sell
534,param3,bearish,nu,pdl-s1,no_trade
535,param3,bearish,nu,s1-pdl,no_trade
536,param3,bearish,nu,pdl-s2,no_trade
537,param3,bearish,nu,s1-s2,no_trade
538,param3,bearish,nu,s2-s3,no_trade
539,param3,bearish,nu,< s3,no_trade
540,param3 alt,bullish,ob,> r3,no_trade
541,param3 alt,bullish,ob,r3-r2,no_trade
542,param3 alt,bullish,ob,r2-pdh,no_trade
543,param3 alt,bullish,ob,r2-r1,no_trade
544,param3 alt,bullish,ob,pdh-r1,no_trade
545,param3 alt,bullish,ob,r1-pdh,no_trade
546,param3 alt,bullish,ob,r1-tc,no_trade
547,param3 alt,bullish,ob,pdh-tc,no_trade
548,param3 alt,bullish,ob,tc-pp,no_trade
549,param3 alt,bullish,ob,pp-bc,no_trade
550,param3 alt,bullish,ob,bc-pdl,no_trade
551,param3 alt,bullish,ob,bc-s1,no_trade
552,param3 alt,bullish,ob,pdl-s1,no_trade
553,param3 alt,bullish,ob,s1-pdl,no_trade
554,param3 alt,bullish,ob,pdl-s2,no_trade
555,param3 alt,bullish,ob,s1-s2,no_trade
556,param3 alt,bullish,ob,s2-s3,no_trade
557,param3 alt,bullish,ob,< s3,no_trade
558,param3 alt,bullish,os,> r3,no_trade
559,param3 alt,bullish,os,r3-r2,no_trade
560,param3 alt,bullish,os,r2-pdh,no_trade
561,param3 alt,bullish,os,r2-r1,no_trade
562,param3 alt,bullish,os,pdh-r1,no_trade
563,param3 alt,bullish,os,r1-pdh,no_trade
564,param3 alt,bullish,os,r1-tc,no_trade
565,param3 alt,bullish,os,pdh-tc,no_trade
566,param3 alt,bullish,os,tc-pp,no_trade
567,param3 alt,bullish,os,pp-bc,no_trade
568,param3 alt,bullish,os,bc-pdl,no_trade
569,param3 alt,bullish,os,bc-s1,no_trade
570,param3 alt,bullish,os,pdl-s1,no_trade
571,param3 alt,bullish,os,s1-pdl,no_trade
572,param3 alt,bullish,os,pdl-s2,no_trade
573,param3 alt,bullish,os,s1-s2,no_trade
574,param3 alt,bullish,os,s2-s3,no_trade
575,param3 alt,bullish,os,< s3,no_trade
576,param3 alt,bullish,nu,> r3,no_trade
577,param3 alt,bullish,nu,r3-r2,no_trade
578,param3 alt,bullish,nu,r2-pdh,no_trade
579,param3 alt,bullish,nu,r2-r1,no_trade
