,param,candle,stoch,pivot,decision
374,param2 alt,bullish,nu,pdl-s2,sell
375,param2 alt,bullish,nu,s1-s2,sell
376,param2 alt,bullish,nu,s2-s3,sell
377,param2 alt,bullish,nu,< s3,sell
378,param2 alt,bearish,ob,> r3,sell
379,param2 alt,bearish,ob,r3-r2,sell
380,param2 alt,bearish,ob,r2-pdh,sell
381,param2 alt,bearish,ob,r2-r1,sell
382,param2 alt,bearish,ob,pdh-r1,sell
383,param2 alt,bearish,ob,r1-pdh,sell
384,param2 alt,bearish,ob,r1-tc,sell
385,param2 alt,bearish,ob,pdh-tc,sell
386,param2 alt,bearish,ob,tc-pp,sell
387,param2 alt,bearish,ob,pp-bc,sell
388,param2 alt,bearish,ob,bc-pdl,sell
389,param2 alt,bearish,ob,bc-s1,sell
390,param2 alt,bearish,ob,pdl-s1,sell
391,param2 alt,bearish,ob,s1-pdl,sell
392,param2 alt,bearish,ob,pdl-s2,sell
393,param2 alt,bearish,ob,s1-s2,sell
394,param2 alt,bearish,ob,s2-s3,sell
395,param2 alt,bearish,ob,< s3,sell
396,param2 alt,bearish,os,> r3,sell
397,param2 alt,bearish,os,r3-r2,sell
398,param2 alt,bearish,os,r2-pdh,sell
399,param2 alt,bearish,os,r2-r1,sell
400,param2 alt,bearish,os,pdh-r1,sell
401,param2 alt,bearish,os,r1-pdh,sell
402,param2 alt,bearish,os,r1-tc,sell
403,param2 alt,bearish,os,pdh-tc,sell
404,param2 alt,bearish,os,tc-pp,sell
405,param2 alt,bearish,os,pp-bc,sell
406,param2 alt,bearish,os,bc-pdl,sell
407,param2 alt,bearish,os,bc-s1,sell
408,param2 alt,bearish,os,pdl-s1,sell
409,param2 alt,bearish,os,s1-pdl,sell
410,param2 alt,bearish,os,pdl-s2,sell
411,param2 alt,bearish,os,s1-s2,sell
412,param2 alt,bearish,os,s2-s3,sell
413,param2 alt,bearish,os,< s3,sell
414,param2 alt,bearish,nu,> r3,sell
415,param2 alt,bearish,nu,r3-r2,sell
416,param2 alt,bearish,nu,r2-pdh,sell
417,param2 alt,bearish,nu,r2-r1,sell
418,param2 alt,bearish,nu,pdh-r1,sell
419,param2 alt,bearish,nu,r1-pdh,sell
420,param2 alt,bearish,nu,r1-tc,sell
421,param2 alt,bearish,nu,pdh-tc,sell
422,param2 alt,bearish,nu,tc-pp,sell
423,param2 alt,bearish,nu,pp-bc,sell
424,param2 alt,bearish,nu,bc-pdl,sell
425,param2 alt,bearish,nu,bc-s1,sell
426,param2 alt,bearish,nu,pdl-s1,sell
427,param2 alt,bearish,nu,s1-pdl,sell
428,param2 alt,bearish,nu,pdl-s2,sell
429,param2 alt,bearish,nu,s1-s2,sell
430,param2 alt,bearish,nu,s2-s3,sell
431,param2 alt,bearish,nu,< s3,sell
432,param3,bullish,ob,> r3,buy
433,param3,bullish,ob,r3-r2,buy
434,param3,bullish,ob,r2-pdh,sell
435,param3,bullish,ob,r2-r1,buy
436,param3,bullish,ob,pdh-r1,buy
437,param3,bullish,ob,r1-pdh,buy
438,param3,bullish,ob,r1-tc,buy
439,param3,bullish,ob,pdh-tc,buy
440,param3,bullish,ob,tc-pp,buy
441,param3,bullish,ob,pp-bc,buy
442,param3,bullish,ob,bc-pdl,buy
443,param3,bullish,ob,bc-s1,buy
444,param3,bullish,ob,pdl-s1,buy
445,param3,bullish,ob,s1-pdl,buy
446,param3,bullish,ob,pdl-s2,buy
447,param3,bullish,ob,s1-s2,buy
448,param3,bullish,ob,s2-s3,buy
449,param3,bullish,ob,< s3,buy
450,param3,bullish,os,> r3,buy
451,param3,bullish,os,r3-r2,buy
452,param3,bullish,os,r2-pdh,buy
453,param3,bullish,os,r2-r1,buy
454,param3,bullish,os,pdh-r1,buy
455,param3,bullish,os,r1-pdh,buy
456,param3,bullish,os,r1-tc,buy
457,param3,bullish,os,pdh-tc,buy
458,param3,bullish,os,tc-pp,buy
459,param3,bullish,os,pp-bc,buy
460,param3,bullish,os,bc-pdl,buy
461,param3,bullish,os,bc-s1,buy
462,param3,bullish,os,pdl-s1,buy
463,param3,bullish,os,s1-pdl,buy
464,param3,bullish,os,pdl-s2,buy
465,param3,bullish,os,s1-s2,buy
466,param3,bullish,os,s2-s3,buy
467,param3,bullish,os,< s3,buy
468,param3,bullish,nu,> r3,buy
469,param3,bullish,nu,r3-r2,buy
470,param3,bullish,nu,r2-pdh,buy
471,param3,bullish,nu,r2-r1,sell
472,param3,bullish,nu,pdh-r1,buy
473,param3,bullish,nu,r1-pdh,buy
474,param3,bullish,nu,r1-tc,buy
475,param3,bullish,nu,pdh-tc,buy
476,param3,bullish,nu,tc-pp,buy
477,param3,bullish,nu,pp-bc,buy
478,param3,bullish,nu,bc-pdl,buy
479,param3,bullish,nu,bc-s1,buy
480,param3,bullish,nu,pdl-s1,buy
481,param3,bullish,nu,s1-pdl,buy
482,param3,bullish,nu,pdl-s2,buy
483,param3,bullish,nu,s1-s2,buy
484,param3,bullish,nu,s2-s3,buy
485,param3,bullish,nu,< s3,buy
486,param3,bearish,ob,> r3,sell
487,param3,bearish,ob,r3-r2,sell
488,param3,bearish,ob,r2-pdh,sell
489,param3,bearish,ob,r2-r1,sell
490,param3,bearish,ob,pdh-r1,sell
491,param3,bearish,ob,r1-pdh,sell
492,param3,bearish,ob,r1-tc,sell
493,param3,bearish,ob,pdh-tc,sell
494,param3,bearish,ob,tc-pp,sell
495,param3,bearish,ob,pp-bc,sell
496,param3,bearish,ob,bc-pdl,sell
497,param3,bearish,ob,bc-s1,sell
498,param3,bearish,ob,pdl-s1,sell
499,param3,bearish,ob,s1-pdl,sell
500,param3,bearish,ob,pdl-s2,sell
501,param3,bearish,ob,s1-s2,sell
502,param3,bearish,ob,s2-s3,sell
503,param3,bearish,ob,< s3,sell
504,param3,bearish,os,> r3,sell
505,param3,bearish,os,r3-r2,sell
506,param3,bearish,os,r2-pdh,sell
507,param3,bearish,os,r2-r1,sell
508,param3,bearish,os,pdh-r1,sell
509,param3,bearish,os,r1-pdh,sell
510,param3,bearish,os,r1-tc,sell
511,param3,bearish,os,pdh-tc,sell
512,param3,bearish,os,tc-pp,sell
513,param3,bearish,os,pp-bc,sell
514,param3,bearish,os,bc-pdl,sell
515,param3,bearish,os,bc-s1,sell
516,param3,bearish,os,pdl-s1,sell
517,param3,bearish,os,s1-pdl,sell
518,param3,bearish,os,pdl-s2,sell
519,param3,bearish,os,s1-s2,sell
520,param3,bearish,os,s2-s3,sell
521,param3,bearish,os,< s3,sell
522,param3,bearish,nu,> r3,sell
523,param3,bearish,nu,r3-r2,sell
524,param3,bearish,nu,r2-pdh,sell
525,param3,bearish,nu,r2-r1,sell
526,param3,bearish,nu,pdh-r1,sell
527,param3,bearish,nu,r1-pdh,sell
528,param3,bearish,nu,r1-tc,sell
529,param3,bearish,nu,pdh-tc,sell
530,param3,bearish,nu,tc-pp,sell
531,param3,bearish,nu,pp-bc,sell
532,param3,bearish,nu,bc-pdl,sell
533,param3,bearish,nu,bc-s1,sell
534,param3,bearish,nu,pdl-s1,sell
535,param3,bearish,nu,s1-pdl,sell
536,param3,bearish,nu,pdl-s2,sell
537,param3,bearish,nu,s1-s2,sell
538,param3,bearish,nu,s2-s3,sell
539,param3,bearish,nu,< s3,sell
540,param3 alt,bullish,ob,> r3,buy
541,param3 alt,bullish,ob,r3-r2,buy
542,param3 alt,bullish,ob,r2-pdh,buy
543,param3 alt,bullish,ob,r2-r1,buy
544,param3 alt,bullish,ob,pdh-r1,buy
545,param3 alt,bullish,ob,r1-pdh,buy
546,param3 alt,bullish,ob,r1-tc,buy
547,param3 alt,bullish,ob,pdh-tc,buy
548,param3 alt,bullish,ob,tc-pp,buy
549,param3 alt,bullish,ob,pp-bc,buy
550,param3 alt,bullish,ob,bc-pdl,buy
551,param3 alt,bullish,ob,bc-s1,buy
552,param3 alt,bullish,ob,pdl-s1,buy
553,param3 alt,bullish,ob,s1-pdl,buy
554,param3 alt,bullish,ob,pdl-s2,buy
555,param3 alt,bullish,ob,s1-s2,buy
556,param3 alt,bullish,ob,s2-s3,buy
557,param3 alt,bullish,ob,< s3,buy
558,param3 alt,bullish,os,> r3,buy
559,param3 alt,bullish,os,r3-r2,buy
560,param3 alt,bullish,os,r2-pdh,buy
561,param3 alt,bullish,os,r2-r1,buy
562,param3 alt,bullish,os,pdh-r1,buy
563,param3 alt,bullish,os,r1-pdh,buy
564,param3 alt,bullish,os,r1-tc,buy
565,param3 alt,bullish,os,pdh-tc,buy
566,param3 alt,bullish,os,tc-pp,buy
567,param3 alt,bullish,os,pp-bc,buy
568,param3 alt,bullish,os,bc-pdl,buy
569,param3 alt,bullish,os,bc-s1,buy
570,param3 alt,bullish,os,pdl-s1,buy
571,param3 alt,bullish,os,s1-pdl,buy
572,param3 alt,bullish,os,pdl-s2,buy
573,param3 alt,bullish,os,s1-s2,buy
574,param3 alt,bullish,os,s2-s3,buy
575,param3 alt,bullish,os,< s3,buy
576,param3 alt,bullish,nu,> r3,buy
577,param3 alt,bullish,nu,r3-r2,buy
578,param3 alt,bullish,nu,r2-pdh,buy
579,param3 alt,bullish,nu,r2-r1,buy
580,param3 alt,bullish,nu,pdh-r1,buy
581,param3 alt,bullish,nu,r1-pdh,buy
582,param3 alt,bullish,nu,r1-tc,buy
583,param3 alt,bullish,nu,pdh-tc,buy
584,param3 alt,bullish,nu,tc-pp,buy
585,param3 alt,bullish,nu,pp-bc,buy
586,param3 alt,bullish,nu,bc-pdl,buy
587,param3 alt,bullish,nu,bc-s1,buy
588,param3 alt,bullish,nu,pdl-s1,buy
589,param3 alt,bullish,nu,s1-pdl,buy
590,param3 alt,bullish,nu,pdl-s2,buy
591,param3 alt,bullish,nu,s1-s2,buy
592,param3 alt,bullish,nu,s2-s3,buy
593,param3 alt,bullish,nu,< s3,buy
594,param3 alt,bearish,ob,> r3,buy
595,param3 alt,bearish,ob,r3-r2,buy
596,param3 alt,bearish,ob,r2-pdh,buy
597,param3 alt,bearish,ob,r2-r1,buy
598,param3 alt,bearish,ob,pdh-r1,buy
599,param3 alt,bearish,ob,r1-pdh,buy
600,param3 alt,bearish,ob,r1-tc,buy
601,param3 alt,bearish,ob,pdh-tc,buy
602,param3 alt,bearish,ob,tc-pp,buy
603,param3 alt,bearish,ob,pp-bc,buy
604,param3 alt,bearish,ob,bc-pdl,buy
605,param3 alt,bearish,ob,bc-s1,buy
606,param3 alt,bearish,ob,pdl-s1,buy
607,param3 alt,bearish,ob,s1-pdl,buy
608,param3 alt,bearish,ob,pdl-s2,buy
609,param3 alt,bearish,ob,s1-s2,buy
610,param3 alt,bearish,ob,s2-s3,buy
611,param3 alt,bearish,ob,< s3,buy
612,param3 alt,bearish,os,> r3,buy
613,param3 alt,bearish,os,r3-r2,buy
614,param3 alt,bearish,os,r2-pdh,buy
615,param3 alt,bearish,os,r2-r1,buy
616,param3 alt,bearish,os,pdh-r1,buy
617,param3 alt,bearish,os,r1-pdh,buy
618,param3 alt,bearish,os,r1-tc,buy
619,param3 alt,bearish,os,pdh-tc,buy
620,param3 alt,bearish,os,tc-pp,buy
621,param3 alt,bearish,os,pp-bc,buy
622,param3 alt,bearish,os,bc-pdl,buy
