,yesterdays_candle,todays_candle,condition,candle_type,script
526,pdh-r1,bc-s1,buy,bullish,nifty
527,r1-pdh,bc-s1,buy,bullish,nifty
528,r1-tc,bc-s1,buy,bullish,nifty
529,pdh-tc,bc-s1,buy,bullish,nifty
530,tc-pp,bc-s1,buy,bullish,nifty
531,pp-bc,bc-s1,buy,bullish,nifty
532,bc-pdl,bc-s1,buy,bullish,nifty
533,bc-s1,bc-s1,buy,bullish,nifty
534,pdl-s1,bc-s1,buy,bullish,nifty
535,s1-pdl,bc-s1,buy,bullish,nifty
536,pdl-s2,bc-s1,buy,bullish,nifty
537,s1-s2,bc-s1,buy,bullish,nifty
538,s2-s3,bc-s1,buy,bullish,nifty
539,< s3,bc-s1,buy,bullish,nifty
